# DC ODMR, one dec-1024 buffer per point, 2026-07-16T12:37:54, power_dBm=16.0, fs_Hz=122070.3
freq_MHz,V_2ms,V_8ms,V_20ms,V_100ms
2892.8000,0.1566845,0.1566606,0.1566798,0.1567349
2892.9000,0.1566675,0.1567466,0.1567758,0.1568261
2893.0000,0.1568340,0.1568425,0.1568527,0.1567931
2893.1000,0.1567600,0.1567475,0.1567568,0.1568161
2893.2000,0.1567750,0.1568084,0.1568428,0.1567564
2893.3000,0.1568365,0.1568314,0.1567966,0.1568744
2893.4000,0.1568855,0.1569122,0.1569127,0.1570114
2893.5000,0.1570458,0.1570582,0.1570099,0.1570494
2893.6000,0.1567415,0.1568004,0.1568531,0.1569517
2893.7000,0.1569906,0.1569499,0.1569676,0.1570455
2893.8000,0.1570037,0.1570684,0.1571307,0.1571269
2893.9000,0.1572026,0.1572206,0.1571563,0.1571508
2894.0000,0.1571128,0.1571141,0.1571218,0.1572421
2894.1000,0.1573299,0.1573355,0.1573490,0.1573222
2894.2000,0.1573644,0.1573211,0.1573335,0.1573167
2894.3000,0.1572933,0.1572991,0.1572654,0.1572942
2894.4000,0.1571450,0.1571809,0.1571469,0.1572112
2894.5000,0.1572988,0.1573201,0.1573126,0.1572997
2894.6000,0.1572873,0.1573236,0.1573128,0.1573074
2894.7000,0.1573659,0.1573507,0.1573492,0.1573630
2894.8000,0.1573679,0.1573752,0.1573844,0.1573727
2894.9000,0.1573659,0.1573920,0.1573804,0.1572619
2895.0000,0.1573779,0.1573680,0.1573580,0.1573489
2895.1000,0.1572787,0.1572959,0.1573154,0.1573338
2895.2000,0.1573534,0.1573632,0.1573566,0.1573024
2895.3000,0.1573178,0.1573276,0.1573343,0.1573331
