# self-oscillation statistics, 2026-07-10T14:34:53, gain=2.3, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04
cycle,t_s,f_MHz,R_V
294,120.4802,2861.998189,8.29304604e-05
295,120.8936,2862.674639,7.11734833e-05
296,121.2911,2862.702654,1.00254308e-04
297,121.7271,2863.138329,8.19716903e-05
298,122.1276,2862.148392,1.45907074e-04
299,122.5560,2863.007856,6.29656987e-05
300,122.9465,2862.432518,1.27313276e-04
301,123.3586,2862.688123,9.00473978e-05
302,123.7963,2864.169943,3.50545254e-05
303,124.1416,2861.596476,2.16924705e-04
304,124.5457,2862.493476,6.12823181e-05
305,124.9651,2864.192356,2.53198863e-05
306,125.3646,2861.595759,2.17962048e-04
307,125.7575,2862.283278,7.06770774e-05
308,126.1954,2862.978782,7.03189445e-05
309,126.5902,2862.329435,1.30632413e-04
310,127.0120,2862.416403,9.76103865e-05
311,127.4120,2862.751563,8.64795214e-05
312,127.8287,2862.587691,1.08859998e-04
313,128.2620,2862.772849,9.32067739e-05
314,128.6471,2862.530899,1.12361581e-04
315,129.0439,2862.606990,9.80982132e-05
316,129.4793,2863.320262,6.95221038e-05
317,129.8748,2861.969204,1.62102488e-04
318,130.2638,2862.576054,7.42948926e-05
319,130.7088,2864.030378,3.62876475e-05
320,131.1071,2861.583578,2.11244002e-04
321,131.4501,2862.434471,6.33501285e-05
322,131.8766,2863.125568,7.05165947e-05
323,132.2751,2862.186613,1.43620638e-04
324,132.6966,2862.779463,7.49227365e-05
325,133.0567,2862.586886,1.10147335e-04
326,133.4591,2862.553956,1.02987546e-04
327,133.8923,2862.607892,9.90917764e-05
328,134.2893,2862.603160,1.01722924e-04
329,134.7439,2863.953706,4.09418294e-05
330,135.1408,2861.641974,2.05186512e-04
331,135.5277,2862.529195,6.17209127e-05
332,135.9468,2863.161975,7.31319716e-05
333,136.3571,2862.229096,1.43348133e-04
334,136.7608,2862.637633,8.31887837e-05
335,137.1891,2863.896680,4.50453672e-05
336,137.5935,2861.845066,1.93520823e-04
337,137.9919,2862.462058,7.38400284e-05
338,138.4127,2863.943014,3.50932647e-05
339,138.8103,2861.769289,1.98997186e-04
340,139.1948,2862.609271,6.38394683e-05
341,139.6270,2863.613769,5.64612689e-05
342,140.0259,2861.953573,1.75966631e-04
343,140.4292,2862.580468,7.33959385e-05
344,140.8771,2863.083972,7.89297189e-05
345,141.2746,2862.232119,1.39714318e-04
346,141.6619,2862.654584,8.25641298e-05
347,142.0917,2863.005711,8.57634276e-05
348,142.4891,2862.350409,1.30899475e-04
349,142.8799,2862.757488,8.32541623e-05
350,143.3263,2862.713234,1.03495376e-04
351,143.7280,2862.564646,1.08174522e-04
352,144.1223,2862.574718,1.01058993e-04
353,144.5455,2864.580480,1.15569103e-05
354,144.9389,2861.574161,2.36337127e-04
355,145.3735,2861.827220,9.01615972e-05
356,145.7745,2862.545777,6.92850980e-05
357,146.1716,2862.534961,1.01995783e-04
358,146.6093,2863.019173,7.97948990e-05
359,147.0062,2862.185193,1.38912749e-04
360,147.4617,2863.764014,3.07042609e-05
361,147.8623,2861.939298,1.83344940e-04
362,148.2575,2862.587888,7.24229514e-05
363,148.6962,2864.401071,2.01936524e-05
364,149.0955,2861.579425,2.28054958e-04
365,149.5125,2862.591825,5.61068990e-05
