# self-oscillation gain scan, 2026-07-10T14:34:53, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04, gamma_MHz_per_mT=28.024
gain,cycle,t_s,f_MHz,R_V
1.0,92,38.1467,2868.066719,5.61833773e-05
1.0,93,38.5764,2867.965130,1.11989503e-04
1.0,94,38.9648,2867.546776,1.44663781e-04
1.0,95,39.3623,2867.962475,5.86314682e-05
1.0,96,39.7455,2867.582447,1.40710484e-04
1.0,97,40.1394,2867.727675,8.65304333e-05
1.0,98,40.5425,2867.879035,8.58979628e-05
1.0,99,40.9473,2867.676896,1.22361284e-04
1.0,100,41.3825,2867.718522,9.72170005e-05
1.0,101,41.7911,2867.900502,8.27395856e-05
1.0,102,42.1950,2867.591299,1.33404813e-04
1.0,103,42.5697,2868.029427,5.63179878e-05
1.0,104,42.9658,2867.505053,1.55599696e-04
1.0,105,43.4107,2867.620832,8.95681520e-05
1.0,106,43.8089,2868.027851,5.95267433e-05
1.0,107,44.2480,2868.075559,9.65896795e-05
1.0,108,44.6340,2867.494422,1.61454791e-04
1.0,109,45.0478,2868.278999,2.05818247e-05
1.0,110,45.4767,2868.191592,1.10526689e-04
1.0,111,45.8812,2867.360589,1.87228402e-04
1.0,112,46.2766,2868.206718,1.42327691e-05
1.0,113,46.7068,2868.210140,1.01157726e-04
1.0,114,47.0989,2867.426396,1.82353611e-04
1.0,115,47.5113,2868.309462,1.04227050e-05
1.0,116,47.9496,2868.350061,9.73229123e-05
1.0,117,48.3638,2867.360596,2.03573654e-04
1.0,118,48.7066,2868.210240,1.38702647e-05
1.0,119,49.1427,2868.197966,1.02776755e-04
1.0,120,49.5986,2868.355834,8.52266911e-05
1.0,121,49.9955,2867.430796,1.96927990e-04
1.0,122,50.3927,2868.320709,9.71644349e-06
1.0,123,50.8451,2868.275421,1.06182233e-04
1.0,124,51.2456,2867.389230,1.92921006e-04
1.0,125,51.6455,2868.275722,1.00693112e-05
